,Czechia,Poland,France,Netherlands,Slovakia,Romania,Spain,Croatia,Greece,Portugal,Italy,United Kingdom,Belgium,Germany,Finland,Bulgaria,Ireland,Hungary,Sweden,Malta,Austria,Slovenia,Latvia,Cyprus,Luxembourg,Lithuania,Estonia,Denmark,
0,0.0,0.13333333333333333,0.03636363636363636,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.24242424242424243,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.0,0.0,0.022222222222222223,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.12380952380952381,0.1,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.0,0.12380952380952381,0.06315789473684211,0.0,0.0,0.09090909090909091,0.0761904761904762,0.0,0.14285714285714285,0.0,0.07792207792207792,0.12121212121212122,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.0,0.08974358974358974,0.02620967741935484,0.047619047619047616,0.0,0.027777777777777776,0.051470588235294115,0.0,0.0,0.0,0.07311827956989247,0.13333333333333333,0.047619047619047616,0.03418803418803419,0.0,0.0,0.3333333333333333,0.14285714285714285,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0.047619047619047616,0.07017543859649122,0.030252100840336135,0.030303030303030304,0.047619047619047616,0.0,0.036231884057971016,0.0,0.19047619047619047,0.07575757575757576,0.03896103896103896,0.047619047619047616,0.022222222222222223,0.008547008547008548,0.08333333333333333,0.0,0.047619047619047616,0.047619047619047616,0.03636363636363636,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.13333333333333333,0.0,0.0,0
5,0.047619047619047616,0.054945054945054944,0.03201970443349754,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.1111111111111111,0.03076923076923077,0.03571428571428571,0.03571428571428571,0.008064516129032258,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,0.0,0.09,0.022222222222222223,0.02564102564102564,0.0,0.12087912087912088,0.028985507246376812,0.0,0.16666666666666666,0.03636363636363636,0.0812807881773399,0.06666666666666667,0.0,0.06756756756756757,0.16666666666666666,0.0,0.0,0.03636363636363636,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.09090909090909091,0.1553030303030303,0.04024390243902439,0.0380952380952381,0.1111111111111111,0.24836601307189543,0.039886039886039885,0.047619047619047616,0.13636363636363635,0.015151515151515152,0.053475935828877004,0.0,0.2,0.0064516129032258064,0.0,0.022222222222222223,0.0,0.01282051282051282,0.02564102564102564,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0
8,0.18181818181818182,0.08333333333333333,0.03225806451612903,0.044444444444444446,0.08333333333333333,0.07602339181286549,0.05714285714285714,0.0,0.5272727272727272,0.0,0.06881720430107527,0.0,0.0,0.043478260869565216,0.09523809523809523,0.047619047619047616,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.1,0.0,1.0,0
9,0.0,0.05,0.03453453453453453,0.025,0.3333333333333333,0.17142857142857143,0.03655913978494624,0.0,0.09090909090909091,0.03636363636363636,0.04694167852062589,0.0,0.03636363636363636,0.06157635467980296,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
